WORD,PART_OF_SPEECH,PRONUNCIATION,DEFINITION,DEFINITION_2,LITERAL_TRANSLATION,CATEGORIES,CULTURAL_NOTE,CULTURAL_NOTE_2,REFERENCE,ACKNOWLEDGEMENT,INCLUDE_IN_GAMES,CHILD_FRIENDLY,AUDIO_TITLE,AUDIO_DESCRIPTION,AUDIO_FILENAME,AUDIO_SHARED_WITH_OTHER_DIALECTS,AUDIO_CHILD_FOCUSED,AUDIO_SOURCE,AUDIO_RECORDER,IMG_TITLE,IMG_FILENAME,IMG_DESCRIPTION,IMG_SHARED_WITH_OTHER_DIALECTS,IMG_CHILD_FOCUSED,IMG_SOURCE,IMG_RECORDER,VIDEO_TITLE,VIDEO_FILENAME,VIDEO_DESCRIPTION,VIDEO_SHARED_WITH_OTHER_DIALECTS,VIDEO_CHILD_FOCUSED,VIDEO_SOURCE,VIDEO_RECORDER,USERNAME,USERNAME_2,CONTRIBUTOR,RELATED_PHRASE,RELATED_PHRASE_DEFINITION,RELATED_PHRASE_LITERAL_TRANSLATION,RELATED_PHRASE_AUDIO_TITLE,RELATED_PHRASE_AUDIO_DESCRIPTION,RELATED_PHRASE_AUDIO_FILENAME,RELATED_PHRASE_AUDIO_SHARED_WITH_OTHER_DIALECTS,RELATED_PHRASE_AUDIO_CHILD_FOCUSED,RELATED_PHRASE_AUDIO_SOURCE,RELATED_PHRASE_AUDIO_RECORDER
*,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
*?,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\0,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\b,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\B,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\d,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
/,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\D,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\E,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\f,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\L,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\n,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\r,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\s,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\S,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\t,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\U,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\v,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\w,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
\W,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
^,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
+,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
|,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
$,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
$',noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
$&,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
$`,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
$1,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
g,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
i,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
m,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
u,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
y,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
:,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
o̅,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
ẕ,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
ei,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
kl',noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
Í,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
